City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Torbay,CA,2022-03-27 01:50:30,47.6666,-52.7314,35.58,95,100,18.41
137,Batemans Bay,AU,2022-03-27 01:50:31,-35.7167,150.1833,70.11,70,100,4.97
138,Maumere,ID,2022-03-27 01:50:31,-8.6199,122.2111,84.9,68,32,2.95
139,Ambulu,ID,2022-03-27 01:50:32,-8.345,113.6058,81.43,78,92,1.39
140,Harper,LR,2022-03-27 01:50:32,4.375,-7.7169,79.16,86,100,1.28
141,Axim,GH,2022-03-27 01:50:32,4.8699,-2.2405,79.56,85,100,5.35
142,Tekeli,KZ,2022-03-27 01:50:33,44.83,78.8239,36.82,99,100,4.32
143,Gwadar,PK,2022-03-27 01:50:33,25.1216,62.3254,76.32,63,0,7.14
144,Husavik,IS,2022-03-27 01:50:34,66.0449,-17.3389,37.58,86,100,6.51
145,Maki,JP,2022-03-27 01:50:34,37.75,138.8833,49.95,72,100,11.72
146,Port Blair,IN,2022-03-27 01:50:34,11.6667,92.75,80.64,89,20,2.3
147,Ordzhonikidze,KZ,2022-03-27 01:50:35,52.4411,61.7408,-1.64,100,100,4.81
148,Mahanje,TZ,2022-03-27 01:50:35,-9.9333,35.3333,63.81,97,88,2.37
149,Hearst,CA,2022-03-27 01:50:36,49.6835,-83.6665,5.25,91,100,13.13
150,Terrace,CA,2022-03-27 01:49:19,54.5163,-128.6035,44.51,81,75,2.3
151,Albertville,US,2022-03-27 01:50:36,34.2676,-86.2089,57.15,24,0,10.36
152,Slonim,BY,2022-03-27 01:50:37,53.0867,25.3219,28.6,68,92,17.16
153,Cherskiy,RU,2022-03-27 01:50:37,68.75,161.3,-0.53,86,100,9.1
154,Half Moon Bay,US,2022-03-27 01:47:09,37.4636,-122.4286,68.58,81,0,18.41
155,Sumter,US,2022-03-27 01:50:38,28.7086,-82.0831,64.81,67,0,9.28
156,Touros,BR,2022-03-27 01:46:04,-5.1989,-35.4608,78.17,87,100,7.07
157,Puerto Leguizamo,CO,2022-03-27 01:50:38,-0.1934,-74.7819,72.28,99,99,1.92
158,Iquitos,PE,2022-03-27 01:50:39,-3.7481,-73.2472,77.04,94,20,2.3
159,Naryan-Mar,RU,2022-03-27 01:50:39,67.6713,53.087,1.44,90,100,9.44
160,Bay-Khaak,RU,2022-03-27 01:50:39,51.1667,94.5,11.79,85,60,1.86
161,Khatanga,RU,2022-03-27 01:50:40,71.9667,102.5,-3.95,96,23,12.55
162,Saint-Francois,FR,2022-03-27 01:50:40,46.4154,3.9054,38.68,93,10,2.3
163,Iracoubo,GF,2022-03-27 01:50:41,5.4802,-53.2011,77.22,86,100,13.13
164,Frutigen,CH,2022-03-27 01:50:41,46.5878,7.6475,42.39,73,0,8.3
165,Gustrow,DE,2022-03-27 01:48:39,53.7972,12.1734,34.12,93,12,2.3
166,Victoria,HK,2022-03-27 01:50:04,22.2855,114.1577,75.18,78,87,8.99
167,Sapernoye,RU,2022-03-27 01:50:42,60.7167,29.9505,22.66,76,100,14.54
168,Dobson,US,2022-03-27 01:50:42,36.3957,-80.7226,44.71,52,0,8.05
169,Faanui,PF,2022-03-27 01:50:43,-16.4833,-151.75,82.33,71,30,12.88
170,Qaanaaq,GL,2022-03-27 01:50:43,77.484,-69.3632,-5.75,98,100,4.74
171,Miraflores,MX,2022-03-27 01:50:43,19.2167,-98.8083,67.03,28,43,3.36
172,Olavarria,AR,2022-03-27 01:50:44,-36.8927,-60.3225,60.03,85,0,7.31
173,Ekibastuz,KZ,2022-03-27 01:50:44,51.6667,75.3667,18.73,95,100,10.87
174,Hervey Bay,AU,2022-03-27 01:50:45,-25.2986,152.8535,76.24,76,13,9.17
175,Lamu,KE,2022-03-27 01:50:45,-2.2717,40.902,79.32,86,55,5.57
176,Sindi,IN,2022-03-27 01:50:45,20.8,78.8667,79.68,15,7,5.88
177,Ostersund,SE,2022-03-27 01:50:46,63.1792,14.6357,29.61,100,100,8.05
178,Tessalit,ML,2022-03-27 01:50:46,20.1986,1.0114,80.64,13,30,10.58
179,Isangel,VU,2022-03-27 01:50:47,-19.55,169.2667,83.88,65,99,9.86
180,Dingle,PH,2022-03-27 01:50:47,10.9995,122.6711,87.53,57,100,11.92
181,Saint-Georges,GD,2022-03-27 01:50:48,12.0564,-61.7485,78.48,78,20,20.71
182,The Valley,AI,2022-03-27 01:50:48,18.217,-63.0578,77.09,67,13,13.44
183,Escuinapa,MX,2022-03-27 01:51:48,22.85,-105.8,67.35,73,0,3.49
184,Ponta Do Sol,PT,2022-03-27 01:51:49,32.6667,-17.1,64.0,86,100,16.98
185,Viedma,AR,2022-03-27 01:50:27,-40.8135,-62.9967,63.97,24,0,11.72
186,Tasiilaq,GL,2022-03-27 01:51:49,65.6145,-37.6368,16.61,61,0,7.76
187,New Norfolk,AU,2022-03-27 01:51:50,-42.7826,147.0587,74.7,40,0,2.57
188,Nouadhibou,MR,2022-03-27 01:51:50,20.931,-17.0347,62.58,88,100,5.75
189,Vilela,PT,2022-03-27 01:51:51,41.2251,-7.6034,46.62,78,20,2.33
190,Ribeira Grande,PT,2022-03-27 01:51:51,38.5167,-28.7,61.03,85,56,9.84
191,Inhambane,MZ,2022-03-27 01:51:51,-23.865,35.3833,72.75,88,90,6.42
192,Balabac,PH,2022-03-27 01:51:52,7.9868,117.0645,84.47,73,100,9.22
193,Nuuk,GL,2022-03-27 01:51:52,64.1835,-51.7216,12.63,76,17,10.74
194,San Jose De Sisa,PE,2022-03-27 01:51:53,-6.6167,-76.6915,73.92,98,95,2.77
195,Hoshangabad,IN,2022-03-27 01:51:53,22.75,77.7167,80.83,14,9,2.46
196,Steamboat Springs,US,2022-03-27 01:48:37,40.485,-106.8317,54.99,52,0,4.61
197,Hofn,IS,2022-03-27 01:51:54,64.2539,-15.2082,45.09,95,100,9.51
198,Ixtapa,MX,2022-03-27 01:51:37,20.7,-105.2,67.39,74,1,1.39
